epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4296.8,1.58921,1.88619,1.32438,0.44785,0.48409,0.46023,0.22113,1.97015,3.12002,1.56112,0.0012862,0.0012862,0.0012862
43,4399.09,1.58598,1.87313,1.32757,0.59367,0.55486,0.58657,0.31065,1.73528,2.29034,1.40974,0.0012562,0.0012562,0.0012562
44,4501.87,1.58306,1.88118,1.32706,0.57553,0.55287,0.57521,0.28943,1.80846,2.35202,1.46496,0.00122596,0.00122596,0.00122596
45,4604.44,1.57195,1.86095,1.32761,0.59515,0.6077,0.60853,0.31173,1.73307,2.25035,1.41288,0.00119551,0.00119551,0.00119551
46,4707.42,1.57598,1.86953,1.32326,0.62266,0.5885,0.62692,0.32617,1.7331,2.229,1.41098,0.00116487,0.00116487,0.00116487
47,4810.53,1.56499,1.81332,1.31181,0.60133,0.60608,0.62046,0.33267,1.71245,2.19524,1.39789,0.00113408,0.00113408,0.00113408
48,4913.77,1.56637,1.81957,1.31655,0.60237,0.60649,0.59839,0.30928,1.71557,2.16265,1.41685,0.00110317,0.00110317,0.00110317
49,5016.65,1.55786,1.85319,1.31245,0.60535,0.56196,0.5902,0.31686,1.68334,2.23426,1.38498,0.00107216,0.00107216,0.00107216
50,5119.46,1.55105,1.76204,1.30569,0.62625,0.57201,0.60795,0.32762,1.6893,2.15718,1.38887,0.0010411,0.0010411,0.0010411
51,5222.26,1.542,1.78607,1.31024,0.57795,0.57099,0.58166,0.30443,1.73179,2.2145,1.41476,0.00101,0.00101,0.00101
52,5325.17,1.53151,1.74978,1.29864,0.60088,0.60797,0.61067,0.31954,1.71907,2.17618,1.41257,0.000978903,0.000978903,0.000978903
53,5428.21,1.5315,1.75438,1.29437,0.61344,0.56763,0.59606,0.31551,1.70038,2.18175,1.40045,0.000947837,0.000947837,0.000947837
54,5531.4,1.52254,1.71806,1.29113,0.60131,0.55807,0.59502,0.3144,1.75367,2.21492,1.43444,0.000916833,0.000916833,0.000916833
55,5634.37,1.52505,1.71099,1.29006,0.56394,0.57242,0.57823,0.29957,1.80132,2.48204,1.45851,0.00088592,0.00088592,0.00088592
56,5737.35,1.52029,1.72457,1.29253,0.60676,0.57068,0.58954,0.30527,1.73643,2.12453,1.4159,0.00085513,0.00085513,0.00085513
57,5839.73,1.50934,1.67439,1.27774,0.59837,0.59036,0.60577,0.31714,1.72854,2.19573,1.41034,0.000824492,0.000824492,0.000824492
58,5942.33,1.52374,1.67872,1.29081,0.60329,0.61811,0.61896,0.32762,1.71449,2.10726,1.40226,0.000794038,0.000794038,0.000794038
