epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2415.6,1.52328,1.72325,1.19526,0.61675,0.6626,0.63356,0.34021,1.72641,2.11793,1.3027,0.000643101,0.000643101,0.000643101
43,2472.14,1.51254,1.71936,1.18511,0.65032,0.61118,0.63998,0.3531,1.69691,2.07591,1.27722,0.000628101,0.000628101,0.000628101
44,2529.48,1.5058,1.71398,1.1885,0.66123,0.62052,0.63493,0.34239,1.74038,2.13609,1.30342,0.000612981,0.000612981,0.000612981
45,2588.11,1.49671,1.68457,1.18039,0.62742,0.64159,0.62329,0.33579,1.75188,2.08062,1.31439,0.000597754,0.000597754,0.000597754
46,2648.14,1.5038,1.67627,1.18432,0.63285,0.59008,0.6377,0.34374,1.73197,2.12154,1.29953,0.000582435,0.000582435,0.000582435
47,2706.32,1.49488,1.66679,1.1728,0.61552,0.66033,0.64496,0.34055,1.75466,2.07478,1.29602,0.00056704,0.00056704,0.00056704
48,2764.2,1.48139,1.63035,1.16667,0.66485,0.64522,0.66304,0.34723,1.72583,2.02594,1.29332,0.000551584,0.000551584,0.000551584
49,2821.89,1.48303,1.62115,1.1694,0.66546,0.62558,0.657,0.35127,1.72788,2.06138,1.294,0.000536081,0.000536081,0.000536081
50,2881.62,1.46259,1.61153,1.15932,0.66585,0.62031,0.65282,0.3597,1.72689,2.05758,1.2964,0.000520548,0.000520548,0.000520548
51,2940.03,1.46157,1.5821,1.16282,0.64073,0.64457,0.63956,0.34442,1.72883,2.12177,1.30012,0.000505,0.000505,0.000505
52,2998.66,1.45537,1.5793,1.15761,0.66368,0.64224,0.65521,0.34991,1.7567,2.06528,1.30626,0.000489452,0.000489452,0.000489452
53,3055.19,1.46057,1.55488,1.15958,0.632,0.61081,0.64626,0.34502,1.74693,2.06101,1.31055,0.000473919,0.000473919,0.000473919
54,3111.4,1.45707,1.55109,1.15629,0.64142,0.66086,0.65659,0.35517,1.73642,2.09761,1.3119,0.000458416,0.000458416,0.000458416
55,3167.27,1.45176,1.52413,1.15509,0.66952,0.60406,0.64252,0.34786,1.75886,2.07127,1.31359,0.00044296,0.00044296,0.00044296
56,3223.66,1.43828,1.50793,1.14423,0.62902,0.62839,0.63442,0.346,1.75851,2.08947,1.30773,0.000427565,0.000427565,0.000427565
57,3279.5,1.44491,1.50402,1.14436,0.66331,0.61314,0.64699,0.34728,1.78077,2.04786,1.31513,0.000412246,0.000412246,0.000412246
58,3335.5,1.43328,1.48399,1.14926,0.64431,0.58798,0.63256,0.3417,1.78358,2.13497,1.32764,0.000397019,0.000397019,0.000397019
59,3390.19,1.4059,1.45031,1.13553,0.64623,0.57845,0.61857,0.3325,1.77507,2.15906,1.32324,0.000381899,0.000381899,0.000381899
60,3446.88,1.40526,1.42564,1.12898,0.64484,0.59751,0.62197,0.33956,1.74356,2.0589,1.29647,0.000366899,0.000366899,0.000366899
